_id,_labels,blocksInheritance,displayname,domain,domainAdmin,enabled,hasspn,highvalue,lastlogon,louvainCommunityId,name,objectid,operatingsystem,owned,pageRank,pwdlastset,_start,_end,_type
0,:Group,,,TESTLAB.LOCAL,,,,true,,,DOMAIN ADMINS@TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-512,,,,,,,
1,:GPO,,,TESTLAB.LOCAL,,,,,,,DEFAULT DOMAIN POLICY@TESTLAB.LOCAL,cafdef1b-7a09-4335-a9b5-f7d9b56e742d,,,,,,,
2,:GPO,,,TESTLAB.LOCAL,,,,,,,DEFAULT DOMAIN CONTROLLERS POLICY@$domain,,,,,,,,
3,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00502.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1501,Windows Server 2008,false,0.27750000506639483,,,,
4,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00503.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1502,Windows Server 2008,false,0.27750000506639483,,,,
5,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00504.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1503,Windows Server 2008,false,0.15000000000000002,,,,
6,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00505.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1504,Windows Server 2008,false,0.15000000000000002,,,,
7,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00506.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1505,Windows Server 2012,false,0.15000000000000002,,,,
8,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00507.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1506,Windows 10,false,0.15000000000000002,,,,
9,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00508.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1507,Windows Server 2008,false,0.27750000506639483,,,,
